NUM_OF_CORE,MORSEL_SIZE,cols,recSize,TimeTaken
34,1742664,3,264,23.02941
34,1795464,3,264,18.70588
34,1848264,3,264,20.76471
34,1901064,3,264,23.94118
34,1953864,3,264,26.14706
34,2006664,3,264,21.23529
34,2059464,3,264,20.91176
36,264,3,264,11.00000
36,53064,3,264,27.88889
36,105864,3,264,22.55556
36,158664,3,264,21.47222
36,211464,3,264,22.88889
36,264264,3,264,25.88889
36,317064,3,264,21.61111
36,369864,3,264,23.72222
36,422664,3,264,23.80556
36,475464,3,264,24.38889
36,528264,3,264,24.16667
36,581064,3,264,26.16667
36,633864,3,264,25.47222
36,686664,3,264,25.13889
36,739464,3,264,19.88889
36,792264,3,264,23.25000
36,845064,3,264,23.16667
36,897864,3,264,25.61111
36,950664,3,264,24.80556
36,1003464,3,264,29.75000
36,1056264,3,264,20.61111
36,1109064,3,264,19.47222
36,1161864,3,264,20.30556
36,1214664,3,264,25.50000
36,1267464,3,264,21.75000
36,1320264,3,264,22.13889
36,1373064,3,264,20.66667
36,1425864,3,264,23.75000
36,1478664,3,264,21.02778
36,1531464,3,264,20.30556
36,1584264,3,264,20.94444
36,1637064,3,264,22.47222
36,1689864,3,264,21.00000
36,1742664,3,264,21.58333
36,1795464,3,264,22.61111
36,1848264,3,264,22.61111
36,1901064,3,264,20.25000
36,1953864,3,264,27.22222
36,2006664,3,264,22.86111
36,2059464,3,264,22.36111
38,264,3,264,10.02632
38,53064,3,264,26.05263
38,105864,3,264,22.84211
38,158664,3,264,23.50000
38,211464,3,264,24.18421
38,264264,3,264,24.15789
38,317064,3,264,23.73684
38,369864,3,264,23.65789
38,422664,3,264,22.23684
38,475464,3,264,27.21053
38,528264,3,264,23.02632
38,581064,3,264,22.36842
38,633864,3,264,31.02632
38,686664,3,264,22.00000
38,739464,3,264,23.50000
38,792264,3,264,22.34211
38,845064,3,264,22.50000
38,897864,3,264,20.55263
38,950664,3,264,22.28947
38,1003464,3,264,20.78947
38,1056264,3,264,22.28947
38,1109064,3,264,26.07895
38,1161864,3,264,23.15789
38,1214664,3,264,24.28947
38,1267464,3,264,19.60526
38,1320264,3,264,22.47368
38,1373064,3,264,25.23684
38,1425864,3,264,27.73684
38,1478664,3,264,26.81579
38,1531464,3,264,26.05263
38,1584264,3,264,23.21053
38,1637064,3,264,24.31579
38,1689864,3,264,21.47368
38,1742664,3,264,26.13158
38,1795464,3,264,24.97368
38,1848264,3,264,23.18421
38,1901064,3,264,24.71053
38,1953864,3,264,20.68421
38,2006664,3,264,24.63158
38,2059464,3,264,26.73684
40,264,3,264,11.50000
40,53064,3,264,31.65000
40,105864,3,264,28.32500
40,158664,3,264,22.02500
