NUM_OF_CORE,MORSEL_SIZE,cols,recSize,TimeTaken
40,211464,3,264,20.35000
40,264264,3,264,23.50000
40,317064,3,264,24.62500
40,369864,3,264,24.67500
40,422664,3,264,23.40000
40,475464,3,264,19.37500
40,528264,3,264,25.32500
40,581064,3,264,19.35000
40,633864,3,264,21.32500
40,686664,3,264,25.85000
40,739464,3,264,19.72500
40,792264,3,264,28.02500
40,845064,3,264,23.42500
40,897864,3,264,21.72500
40,950664,3,264,23.72500
40,1003464,3,264,27.97500
40,1056264,3,264,23.25000
40,1109064,3,264,24.60000
40,1161864,3,264,25.25000
40,1214664,3,264,25.80000
40,1267464,3,264,20.27500
40,1320264,3,264,24.92500
40,1373064,3,264,21.22500
40,1425864,3,264,23.65000
40,1478664,3,264,25.47500
40,1531464,3,264,21.25000
40,1584264,3,264,23.85000
40,1637064,3,264,23.90000
40,1689864,3,264,25.27500
40,1742664,3,264,22.30000
40,1795464,3,264,21.47500
40,1848264,3,264,23.52500
40,1901064,3,264,25.70000
40,1953864,3,264,22.02500
40,2006664,3,264,23.95000
40,2059464,3,264,25.67500
42,264,3,264,9.95238
42,53064,3,264,21.21428
42,105864,3,264,24.09524
42,158664,3,264,25.26191
42,211464,3,264,23.50000
42,264264,3,264,22.59524
42,317064,3,264,21.69048
42,369864,3,264,24.33333
42,422664,3,264,26.64286
42,475464,3,264,23.50000
42,528264,3,264,23.07143
42,581064,3,264,21.71428
42,633864,3,264,27.14286
42,686664,3,264,22.23809
42,739464,3,264,23.64286
42,792264,3,264,18.21428
42,845064,3,264,22.02381
42,897864,3,264,23.92857
42,950664,3,264,25.40476
42,1003464,3,264,21.95238
42,1056264,3,264,25.97619
42,1109064,3,264,24.14286
42,1161864,3,264,24.83333
42,1214664,3,264,25.38095
42,1267464,3,264,26.26191
42,1320264,3,264,26.80952
42,1373064,3,264,23.80952
42,1425864,3,264,32.00000
42,1478664,3,264,24.42857
42,1531464,3,264,23.00000
42,1584264,3,264,29.69048
42,1637064,3,264,28.54762
42,1689864,3,264,28.09524
42,1742664,3,264,24.57143
42,1795464,3,264,22.97619
42,1848264,3,264,21.88095
42,1901064,3,264,22.38095
42,1953864,3,264,26.28572
42,2006664,3,264,22.07143
42,2059464,3,264,27.83333
44,264,3,264,4.02273
44,53064,3,264,24.93182
44,105864,3,264,24.70455
44,158664,3,264,26.88636
44,211464,3,264,29.13636
44,264264,3,264,24.79545
44,317064,3,264,25.36364
44,369864,3,264,23.63636
44,422664,3,264,20.25000
44,475464,3,264,23.68182
44,528264,3,264,30.84091
44,581064,3,264,26.65909
44,633864,3,264,31.86364
44,686664,3,264,25.79545
44,739464,3,264,27.43182
44,792264,3,264,26.15909
44,845064,3,264,23.45455
44,897864,3,264,21.65909
44,950664,3,264,30.72727
44,1003464,3,264,31.00000
44,1056264,3,264,27.43182
44,1109064,3,264,28.50000
44,1161864,3,264,30.65909
44,1214664,3,264,23.86364
44,1267464,3,264,27.56818
44,1320264,3,264,24.00000
44,1373064,3,264,28.84091
44,1425864,3,264,24.25000
44,1478664,3,264,28.25000
44,1531464,3,264,26.68182
44,1584264,3,264,25.09091
44,1637064,3,264,28.25000
44,1689864,3,264,29.34091
44,1742664,3,264,27.18182
44,1795464,3,264,28.75000
44,1848264,3,264,20.56818
44,1901064,3,264,26.27273
44,1953864,3,264,26.09091
44,2006664,3,264,23.11364
44,2059464,3,264,25.50000
46,264,3,264,5.82609
46,53064,3,264,29.13043
46,105864,3,264,24.63043
46,158664,3,264,33.08696
46,211464,3,264,25.82609
46,264264,3,264,24.13043
46,317064,3,264,22.95652
46,369864,3,264,27.02174
46,422664,3,264,27.91304
46,475464,3,264,30.41304
46,528264,3,264,27.67391
46,581064,3,264,26.41304
46,633864,3,264,30.15217
46,686664,3,264,24.73913
46,739464,3,264,28.28261
46,792264,3,264,24.13043
46,845064,3,264,31.19565
46,897864,3,264,30.95652
46,950664,3,264,27.69565
46,1003464,3,264,34.39130
46,1056264,3,264,29.28261
46,1109064,3,264,29.89130
46,1161864,3,264,27.21739
46,1214664,3,264,22.32609
46,1267464,3,264,28.69565
46,1320264,3,264,24.93478
46,1373064,3,264,27.02174
46,1425864,3,264,24.15217
46,1478664,3,264,32.32609
46,1531464,3,264,22.73913
46,1584264,3,264,24.36957
46,1637064,3,264,31.04348
46,1689864,3,264,26.47826
46,1742664,3,264,24.26087
46,1795464,3,264,24.67391
46,1848264,3,264,23.50000
46,1901064,3,264,28.19565
46,1953864,3,264,24.13043
46,2006664,3,264,27.13043
46,2059464,3,264,29.17391
48,264,3,264,6.66667
48,53064,3,264,27.70833
48,105864,3,264,30.81250
48,158664,3,264,29.47917
48,211464,3,264,33.89583
48,264264,3,264,31.62500
48,317064,3,264,22.25000
48,369864,3,264,30.70833
48,422664,3,264,27.66667
48,475464,3,264,35.87500
48,528264,3,264,30.52083
48,581064,3,264,37.06250
48,633864,3,264,28.79167
48,686664,3,264,30.58333
48,739464,3,264,28.14583
48,792264,3,264,27.79167
48,845064,3,264,26.93750
48,897864,3,264,23.89583
48,950664,3,264,26.93750
48,1003464,3,264,28.18750
48,1056264,3,264,29.02083
48,1109064,3,264,26.37500
48,1161864,3,264,28.79167
48,1214664,3,264,31.12500
48,1267464,3,264,26.93750
48,1320264,3,264,29.81250
48,1373064,3,264,25.35417
48,1425864,3,264,26.25000
48,1478664,3,264,26.83333
48,1531464,3,264,25.83333
48,1584264,3,264,26.83333
48,1637064,3,264,25.22917
48,1689864,3,264,28.43750
